date,high,low,open,close,volume
2019-09-13 12:05:00,301.7150,301.4800,301.5700,301.6900,1551848
2019-09-13 12:00:00,301.6900,301.5650,301.6500,301.5650,1045100
2019-09-13 11:55:00,301.7800,301.6400,301.7400,301.6400,318968
2019-09-13 11:50:00,301.7300,301.6100,301.6900,301.7300,2001951
2019-09-13 11:45:00,301.6800,301.5600,301.6000,301.6800,327397
2019-09-13 11:40:00,301.7100,301.5500,301.6800,301.5950,562229
2019-09-13 11:35:00,301.7600,301.6300,301.7050,301.6300,358390
2019-09-13 11:30:00,302.0100,301.5500,301.9650,301.7100,980119
2019-09-13 11:25:00,302.0800,301.9200,302.0780,301.9600,906336
2019-09-13 11:20:00,302.0600,301.9900,302.0300,302.0600,920383
2019-09-13 11:15:00,302.1400,302.0500,302.1200,302.1100,562176
2019-09-13 11:10:00,302.1700,301.7800,301.8400,302.1100,916922
2019-09-13 11:05:00,301.9300,301.8200,301.8400,301.8500,390353
2019-09-13 11:00:00,301.9100,301.8400,301.9000,301.8400,310328
2019-09-13 10:55:00,301.9400,301.7750,301.8000,301.8800,544752
2019-09-13 10:50:00,301.8600,301.6000,301.6700,301.8000,1499575
2019-09-13 10:45:00,301.7100,301.6600,301.7000,301.6600,363750
2019-09-13 10:40:00,301.8000,301.5500,301.7200,301.7000,604391
2019-09-13 10:35:00,301.8500,301.6900,301.7900,301.7100,478205
2019-09-13 10:30:00,301.9500,301.7300,301.7400,301.7800,433848
2019-09-13 10:25:00,301.7800,301.6400,301.6400,301.7200,557538
2019-09-13 10:20:00,301.6800,301.2500,301.3400,301.6400,927386
2019-09-13 10:15:00,301.4200,301.3000,301.3400,301.3400,666802
2019-09-13 10:10:00,301.6200,301.3100,301.5400,301.3300,553904
2019-09-13 10:05:00,301.7400,301.4800,301.6500,301.5300,609291
2019-09-13 10:00:00,301.9100,301.4400,301.8800,301.6800,627025
2019-09-13 09:55:00,302.0100,301.8000,301.8200,301.8800,1176362
2019-09-13 09:50:00,301.9600,301.6700,301.8200,301.8200,820472
2019-09-13 09:45:00,301.8700,301.6500,301.7500,301.8300,1026522
2019-09-13 09:40:00,301.8400,301.4500,301.4800,301.7500,1084368
2019-09-13 09:35:00,301.8850,301.4300,301.7800,301.4809,2321942
2019-09-12 16:00:00,301.6600,301.1500,301.6400,301.2700,2929874
2019-09-12 15:55:00,301.6500,301.5500,301.5900,301.6500,2026258
2019-09-12 15:50:00,301.8900,301.5900,301.8116,301.6100,1419613
2019-09-12 15:45:00,301.9201,301.6800,301.9201,301.8000,909493
2019-09-12 15:40:00,302.0100,301.9200,301.9300,301.9200,769807
2019-09-12 15:35:00,302.0900,301.8200,301.9100,301.9400,585753
2019-09-12 15:30:00,302.0500,301.8800,302.0350,301.9000,725703
2019-09-12 15:25:00,302.0800,301.8800,301.9000,302.0300,407677
2019-09-12 15:20:00,302.0000,301.8900,301.9700,301.9000,362527
2019-09-12 15:15:00,302.0200,301.9200,301.9910,301.9800,273317
2019-09-12 15:10:00,302.0300,301.9850,301.9900,302.0000,1418671
2019-09-12 15:05:00,302.1900,302.0000,302.1500,302.0000,357016
2019-09-12 15:00:00,302.2200,302.1000,302.1800,302.1500,309333
2019-09-12 14:55:00,302.2700,302.1900,302.2100,302.1900,188067
2019-09-12 14:50:00,302.2800,302.2000,302.2328,302.2000,204795
2019-09-12 14:45:00,302.4200,302.2100,302.2200,302.2300,673306
2019-09-12 14:40:00,302.2600,302.1000,302.1350,302.2200,428500
2019-09-12 14:35:00,302.1500,301.9700,302.0300,302.1400,690512
2019-09-12 14:30:00,302.0300,301.9200,301.9700,302.0300,303479
2019-09-12 14:25:00,302.0500,301.8700,302.0300,301.9600,1204020
2019-09-12 14:20:00,302.0300,301.9500,302.0000,302.0200,559702
2019-09-12 14:15:00,302.1000,301.9550,301.9900,302.0000,768288
2019-09-12 14:10:00,302.0403,301.9000,302.0402,301.9800,1015563
2019-09-12 14:05:00,302.2300,301.9600,302.1900,302.0400,654768
2019-09-12 14:00:00,302.2900,302.1800,302.2700,302.1800,218555
2019-09-12 13:55:00,302.3700,302.2200,302.2376,302.2600,324609
2019-09-12 13:50:00,302.2600,302.1970,302.2200,302.2300,411846
2019-09-12 13:45:00,302.2700,302.0300,302.0800,302.2250,447193
2019-09-12 13:40:00,302.2200,302.0700,302.1600,302.0700,225754
2019-09-12 13:35:00,302.1800,302.0600,302.0700,302.1700,784963
2019-09-12 13:30:00,302.0900,301.9900,302.0500,302.0700,282594
2019-09-12 13:25:00,302.1100,302.0400,302.0500,302.0500,247102
2019-09-12 13:20:00,302.1500,301.9900,302.1000,302.0500,288736
2019-09-12 13:15:00,302.2100,302.0800,302.1600,302.1100,1362991
2019-09-12 13:10:00,302.3800,302.1100,302.2750,302.1500,626500
2019-09-12 13:05:00,302.4600,302.0500,302.0500,302.2750,899573
2019-09-12 13:00:00,302.0650,302.0100,302.0200,302.0500,422615
2019-09-12 12:55:00,302.0200,301.9200,301.9400,302.0200,304225
2019-09-12 12:50:00,302.0000,301.8800,301.8900,301.9400,542418
2019-09-12 12:45:00,301.9000,301.6900,301.7400,301.8850,305633
2019-09-12 12:40:00,301.8300,301.7400,301.7900,301.7500,212339
2019-09-12 12:35:00,301.8400,301.6900,301.7350,301.7900,416242
2019-09-12 12:30:00,301.8000,301.5550,301.5700,301.7300,465349
2019-09-12 12:25:00,301.6500,301.5101,301.5200,301.5700,739460
2019-09-12 12:20:00,301.6100,301.4500,301.5900,301.5200,371557
2019-09-12 12:15:00,301.6600,301.5400,301.5400,301.6000,398724
2019-09-12 12:10:00,301.7000,301.4700,301.6500,301.5200,346146
2019-09-12 12:05:00,301.8000,301.6400,301.7800,301.6400,493146
2019-09-12 12:00:00,301.7900,301.6400,301.7300,301.7900,424385
2019-09-12 11:55:00,301.7800,301.6600,301.6600,301.7500,458840
2019-09-12 11:50:00,301.7000,301.5935,301.6100,301.6700,464164
2019-09-12 11:45:00,301.6300,301.4100,301.4350,301.6000,912335
2019-09-12 11:40:00,301.4550,301.4100,301.4350,301.4300,322078
2019-09-12 11:35:00,301.5300,301.4400,301.4900,301.4400,413780
2019-09-12 11:30:00,301.5400,301.4200,301.5000,301.4800,834329
2019-09-12 11:25:00,301.5400,301.2300,301.3400,301.5000,536533
2019-09-12 11:20:00,301.3600,301.1000,301.1200,301.3400,537299
2019-09-12 11:15:00,301.1100,300.9800,300.9985,301.1100,675847
2019-09-12 11:10:00,301.0300,300.6500,300.8500,300.9750,413376
2019-09-12 11:05:00,300.8700,300.6800,300.8400,300.8700,1065198
2019-09-12 11:00:00,301.0500,300.8400,300.8700,300.8400,1330522
2019-09-12 10:55:00,302.2115,300.7202,301.8949,300.8949,5072998
2019-09-12 10:50:00,301.9150,301.6800,301.7900,301.8800,605466
2019-09-12 10:45:00,301.9600,301.6300,301.8200,301.7900,524923
2019-09-12 10:40:00,301.8800,301.5850,301.8150,301.8200,688347
2019-09-12 10:35:00,302.0600,301.8200,302.0200,301.8200,894320
2019-09-12 10:30:00,302.1100,301.8300,301.8800,302.0000,926561
2019-09-12 10:25:00,302.2900,301.7200,301.7750,301.8900,1495387
2019-09-12 10:20:00,302.1200,301.4800,301.5500,301.7700,1565133
2019-09-12 10:15:00,302.3700,300.7800,300.8746,301.5400,4579615
